source,target,relation,note
6.1,6.3,RELATED,"A scalar field can be given dynamics by choosing a field Lagrangian, but the scalar-field concept is not derived from the Lagrangian."
6.1,6.4,RELATED,"Scalar fields are one class of fields governed by field equations, but neither concept is derived from the other."
6.2,2.2,PREREQUISITE,A vector field assigns vector components to each spacetime event.
6.2,3.1,PREREQUISITE,A relativistic vector field is defined by how its components transform under Lorentz transformations.
6.2,4.2,PREREQUISITE,A relativistic vector field has components that transform as a four-vector at each spacetime point.
6.2,5.2,RELATED,"Vector-field theories are often formulated with Lagrangians, but a vector field is not itself derived from a Lagrangian."
6.2,6.3,RELATED,"A vector field can be given dynamics by a field Lagrangian, but the vector-field concept is not derived from the Lagrangian."
6.3,2.2,PREREQUISITE,A field Lagrangian is a local density defined at spacetime events.
6.3,2.3,PREREQUISITE,A local field Lagrangian embodies the principle that interactions depend on fields and derivatives at the same spacetime event.
6.3,5.1,PREREQUISITE,The field Lagrangian is introduced as the density whose spacetime integral defines the action for a field.
6.3,5.3,RELATED,"Field Lagrangians are varied using Euler–Lagrange equations to obtain dynamics, but neither concept is derived from the other."
6.4,6.3,DERIVES_FROM,Field equations are obtained by varying the action constructed from a field Lagrangian.
6.4,3.1,PREREQUISITE,Relativistic field equations are required to transform covariantly under Lorentz transformations.
6.4,5.3,DERIVES_FROM,Field equations are obtained by applying the Euler–Lagrange equations to fields rather than particle coordinates.
6.4,6.2,RELATED,"Vector fields are one class of fields governed by field equations, including electromagnetic field equations."
7.1,2.2,PREREQUISITE,"The vector potential is a field defined over spacetime, assigning components at spacetime events."
7.1,6.2,PREREQUISITE,The vector potential is a specific relativistic vector field.
7.1,6.3,RELATED,"The vector potential is the field variable used in electromagnetic Lagrangian formulations, but it is not itself derived from a field Lagrangian."
7.2,7.1,DERIVES_FROM,The electromagnetic field tensor is constructed from derivatives of the vector potential.
7.2,3.1,PREREQUISITE,The field tensor is understood as a covariant object whose components transform under Lorentz transformations.
7.3,7.2,DERIVES_FROM,The electric field components are obtained from the time-space components of the field tensor.
7.4,7.2,DERIVES_FROM,The magnetic field components are obtained from the spatial components of the field tensor.
7.5,7.2,PREREQUISITE,The relativistic electromagnetic field is represented compactly by the field tensor.
7.3,2.1,PREREQUISITE,"The electric field is a frame-dependent component of the electromagnetic field, defined relative to an inertial frame."
7.3,3.1,PREREQUISITE,Understanding how electric and magnetic fields mix requires Lorentz transformations.
7.5,7.3,PREREQUISITE,The electromagnetic field combines electric and magnetic fields into one relativistic field.
7.3,7.4,RELATED,Electric and magnetic fields are complementary frame-dependent aspects of the electromagnetic field.
7.5,7.4,PREREQUISITE,The electromagnetic field combines magnetic and electric fields into one relativistic field.
7.5,6.3,RELATED,"The electromagnetic field can be given dynamics through a field Lagrangian, but the field concept is not derived from the Lagrangian."
7.6,7.5,PREREQUISITE,Maxwell’s equations are equations governing the electromagnetic field.
7.6,5.3,DERIVES_FROM,Maxwell’s equations can be obtained by applying the Euler–Lagrange equations to the electromagnetic field action.
7.6,6.3,DERIVES_FROM,Maxwell’s equations follow from varying the electromagnetic field Lagrangian.
7.7,7.1,PREREQUISITE,The Lorenz gauge is a condition imposed on the vector potential.
7.7,7.5,PREREQUISITE,The significance of gauge choice depends on distinguishing the vector potential from the physical electromagnetic field it leaves unchanged.
7.7,7.6,RELATED,"The Lorenz gauge is closely associated with Maxwell’s equations because it simplifies their potential form, but it is not derived from them."
8.1,7.1,PREREQUISITE,Gauge invariance is formulated as a freedom to transform the vector potential without changing the physical field.
8.1,7.2,DERIVES_FROM,The gauge invariance of the electromagnetic field follows because the antisymmetric field tensor is unchanged by adding a gradient to the vector potential.
8.1,7.5,PREREQUISITE,Gauge invariance concerns changes of potential that leave the physical electromagnetic field unchanged.
7.7,8.1,PREREQUISITE,"The Lorenz gauge is a particular gauge choice, so it presupposes the gauge freedom expressed by gauge invariance."
8.2,4.2,PREREQUISITE,The four-current is defined as a relativistic four-vector combining charge density and current density.
7.6,8.2,PREREQUISITE,The sourced covariant form of Maxwell’s equations uses the four-current as the source term.
8.5,8.2,PREREQUISITE,Charge conservation is expressed locally as the vanishing four-divergence of the four-current.
8.3,5.2,PREREQUISITE,Minimal coupling is a prescription for modifying a particle Lagrangian to include electromagnetic interaction.
8.3,7.1,PREREQUISITE,Minimal coupling introduces the vector potential into the momentum or Lagrangian of a charged particle.
8.3,8.1,PREREQUISITE,Minimal coupling is constructed so that electromagnetic interaction respects gauge invariance.
8.4,4.4,PREREQUISITE,The covariant Lorentz force law uses the velocity four-vector of the charged particle.
8.4,4.5,PREREQUISITE,The covariant Lorentz force law describes the rate of change of the momentum four-vector.
8.4,5.1,DERIVES_FROM,The Lorentz force law is obtained by applying the action principle to a charged particle coupled to the electromagnetic field.
8.4,7.2,PREREQUISITE,The covariant Lorentz force law is written in terms of the electromagnetic field tensor.
8.4,7.5,PREREQUISITE,The Lorentz force law describes how a charged particle responds to the electromagnetic field.
8.4,8.3,DERIVES_FROM,The Lorentz force law follows from the minimally coupled action for a charged particle.
8.5,7.6,DERIVES_FROM,Local charge conservation follows from the sourced Maxwell equations because the divergence of the antisymmetric field-tensor equation vanishes identically.
9.1,7.3,PREREQUISITE,The electromagnetic energy density is written in terms of the electric field.
9.1,7.4,PREREQUISITE,The electromagnetic energy density is written in terms of the magnetic field.
9.1,7.5,PREREQUISITE,Energy density is a property carried by the electromagnetic field.
9.1,9.4,DERIVES_FROM,The electromagnetic energy density is the time-time component of the energy-momentum tensor.
9.2,7.5,PREREQUISITE,The Poynting vector describes energy and momentum flow carried by the electromagnetic field.
9.2,9.1,RELATED,Energy density and momentum density are complementary components of electromagnetic energy-momentum flow.
9.3,3.3,PREREQUISITE,The electromagnetic stress-energy tensor uses the metric to form covariant contractions and raise or lower indices.
9.3,7.2,DERIVES_FROM,The electromagnetic stress-energy tensor is constructed algebraically from the field tensor.
9.4,7.2,DERIVES_FROM,"For the electromagnetic field, the energy-momentum tensor is constructed from the field tensor."
10.1,1.2,RELATED,"Electromagnetic waves travel at the invariant speed c, linking them to the constancy of the speed of light, but the wave concept is not derived from that postulate alone."
10.1,7.3,PREREQUISITE,Electromagnetic waves are self-propagating oscillations involving the electric field.
10.1,7.4,PREREQUISITE,Electromagnetic waves are self-propagating oscillations involving the magnetic field.
10.1,7.5,PREREQUISITE,Electromagnetic waves are propagating disturbances of the electromagnetic field.
10.1,8.2,RELATED,"Source-free electromagnetic waves are discussed in regions where the four-current vanishes, but the four-current is not part of the wave itself."
10.1,9.2,RELATED,The Poynting vector describes the energy and momentum flow carried by electromagnetic waves.
10.1,9.4,RELATED,Electromagnetic waves carry energy and momentum described by the electromagnetic energy-momentum tensor.
10.2,3.3,PREREQUISITE,The relativistic wave equation uses the metric to form the d’Alembertian operator.
10.2,7.1,PREREQUISITE,The potential form of the electromagnetic wave equation is written for the vector potential.
10.2,7.7,PREREQUISITE,The simple wave-equation form for the vector potential is obtained after imposing the Lorenz gauge.
10.2,8.2,PREREQUISITE,The sourced wave equation includes the four-current as its source term.
10.1,10.2,PREREQUISITE,Understanding electromagnetic waves as propagating field solutions requires the wave equation.
10.3,8.4,PREREQUISITE,Radiation reaction is a correction to the particle motion described by the Lorentz force law.
10.3,9.4,PREREQUISITE,Radiation reaction depends on the energy and momentum carried away by the electromagnetic field.
10.3,10.1,PREREQUISITE,Radiation reaction arises when accelerating charges emit electromagnetic waves.
11.1,2.1,PREREQUISITE,Lorentz invariance is stated as the covariance of physical laws between inertial frames.
11.1,3.1,PREREQUISITE,Lorentz invariance is defined in terms of covariance under Lorentz transformations.
11.1,3.3,PREREQUISITE,Lorentz invariance preserves the invariant structure encoded by the Minkowski metric.
11.1,4.2,RELATED,Four-vectors provide a manifestly Lorentz-covariant way to write physical laws.
11.1,7.2,RELATED,The field tensor is a Lorentz-covariant object used to express electromagnetism in invariant form.
11.1,9.4,RELATED,The energy-momentum tensor is a Lorentz-covariant object whose components describe energy and momentum consistently between frames.
11.2,7.1,PREREQUISITE,Gauge fixing is the choice of a particular representative vector potential from a gauge-equivalent family.
11.2,7.2,PREREQUISITE,"Gauge fixing changes the potential while leaving the field tensor, and hence the physical field, unchanged."
11.2,7.5,PREREQUISITE,Gauge fixing is meaningful because different potentials can represent the same electromagnetic field.
11.2,7.6,RELATED,Gauge fixing is closely associated with Maxwell’s equations because particular gauge choices simplify their potential form.
7.7,11.2,PREREQUISITE,The Lorenz gauge is a specific example of gauge fixing.
11.2,8.1,PREREQUISITE,"Gauge fixing presupposes gauge invariance, since it selects one representative from a gauge-equivalent class."
1.1,11.1,RELATED,Expanded Principle of relativity explanation explicitly connects the postulate to Lorentz invariance as the modern form of observer-independent physical laws.
1.2,3.4,RELATED,Expanded Constancy of the speed of light explanation uses light cones to describe the causal structure organized by invariant light speed.
2.3,6.1,RELATED,Expanded Principle of locality text introduces a didactic link to Scalar field.
2.3,6.2,RELATED,Expanded Principle of locality text introduces a didactic link to Vector field.
3.5,3.1,RELATED,Expanded Minkowski diagram text uses the diagram as a visual representation of Lorentz transformations and tilted inertial-frame axes.
3.5,3.4,RELATED,Expanded Minkowski diagram text treats light cones as a central geometric feature represented in the diagram.
4.1,3.4,RELATED,"Expanded Proper time text links proper time to timelike paths inside the light cone, with lightlike paths having zero proper time."
4.5,3.3,PREREQUISITE,Expanded Momentum four-vector text uses the metric tensor to compute the invariant magnitude and mass-shell relation.
5.1,11.1,RELATED,Expanded Action principle text links relativistic action construction to Lorentz invariance as a coordinate-independent symmetry requirement.
5.4,5.6,RELATED,Expanded Hamiltonian formalism text links canonical phase-space structure and conserved quantities to Noether symmetry ideas.
5.5,8.3,RELATED,Expanded Canonical momentum text explains that minimal coupling changes the canonical momentum in electromagnetic interactions.
5.6,11.1,RELATED,Expanded Noether theorem text connects spacetime symmetries and conserved currents with Lorentz invariance.
6.4,7.6,RELATED,Expanded Field equations example explicitly uses Maxwell equations as the central electromagnetic example of relativistic field equations.
7.2,3.3,PREREQUISITE,"Expanded Field tensor text introduces raising and lowering electromagnetic tensor indices using the metric tensor, especially in equations such as partial_mu F^{mu nu}=J^nu."
7.6,2.3,RELATED,"Expanded Maxwell equations text explicitly presents them as local field equations, linking their pointwise source-field relation to the principle of locality."
8.1,5.6,RELATED,Expanded Gauge invariance text connects gauge symmetry with the symmetry-and-conservation ideas behind Noether's theorem.
8.2,2.3,RELATED,"Expanded Four-current text presents current as a local density-and-flux object, linking it to the principle of locality."
8.4,7.3,RELATED,Expanded Lorentz force law text identifies the electric-field part of the ordinary three-vector force.
8.4,7.4,RELATED,Expanded Lorentz force law text identifies the magnetic-field part of the ordinary three-vector force.
8.5,5.6,RELATED,Expanded Charge conservation text connects charge conservation with Noether's theorem and symmetry-based conservation laws.
9.2,9.4,DERIVES_FROM,Expanded momentum-density text presents the Poynting vector/momentum flow as part of the energy--momentum tensor.
9.3,9.4,RELATED,The electromagnetic stress-energy tensor is the electromagnetic-field instance of the more general energy--momentum tensor.
10.1,7.6,DERIVES_FROM,Expanded electromagnetic-wave text explicitly states that source-free Maxwell equations imply propagating electromagnetic waves.
10.2,3.4,RELATED,Expanded wave-equation text connects finite propagation speed to the causal structure represented by the light cone.
10.2,6.4,RELATED,The wave equation is a particular kind of field equation describing propagating disturbances.
11.2,11.1,RELATED,Expanded gauge-fixing text notes that the Lorenz gauge is useful because it respects Lorentz invariance.
