id,label,layer,dominant_mnemonic,icon_design,detail_design,physics_idea,icon_labels,detail_labels,avoid,icon_caption,detail_caption
5.4,Canonical momentum,5,Momentum paired with a coordinate through the Lagrangian,Simplify the detailed diagram to a q coordinate mark with its paired p arrow and a small L-to-p cue.,"Design the detailed graphic as a coordinate q on a configuration axis with velocity qdot indicated locally, an L tile that depends on qdot, and an arrow from L through a compact derivative tag dL/dqdot into the conjugate momentum p. Pair q and p visually as canonical partners while keeping p distinct from relativistic four-momentum.","Canonical momentum is the momentum conjugate to a coordinate, defined from how the Lagrangian depends on the corresponding velocity.","q, p","q, qdot, L, dL/dqdot, p","Relativistic four-momentum as the main image, a simple free-particle track, a full partial-derivative formula, or phase-space flow that belongs to Hamiltonian formalism.",The coordinate q is paired with a conjugate momentum p.,The Lagrangian and derivative tile show that canonical momentum is derived from the velocity dependence of L.
5.6,Noether's theorem,5,Continuous symmetry producing conserved quantity,Simplify the detailed diagram to a circular symmetry arrow around S pointing to a gold conserved Q badge.,"Design the detailed graphic as a continuous symmetry transformation acting on the action S, shown by a smooth circular or sliding arrow, with the transformed action still marked unchanged. From that unchanged-action badge draw a clear implication arrow to a locked conserved quantity Q. Optionally include one tiny example token such as time shift to energy, but only if it does not crowd the theorem graphic.","Noether's theorem links every continuous symmetry of the action to a conserved quantity, such as energy, momentum, or charge.","S, Q","S unchanged, Q conserved","A generic theorem scroll, too many examples, discrete-only symmetry imagery, or making conservation appear without the symmetry-to-action link.",A continuous symmetry of S points to a conserved Q.,"The unchanged action under a smooth transformation leads to a conserved quantity, the core Noether relation."
6.1,Scalar field,6,One value assigned to each spacetime point,Simplify the detailed diagram to an x/ct grid with several filled discs of varying size or colour labelled phi.,"Design the detailed graphic as a spacetime grid with field values phi(x) sampled at many events. Each sample is non-directional: use coloured discs, heights, or contour shading, varying smoothly across the grid. Include one highlighted event with its scalar value callout phi(x0). The absence of arrows is part of the lesson.",A scalar field assigns one observer-independent value to every spacetime event; it is a function over spacetime rather than a single particle coordinate.,phi,"x, ct, phi(x), phi(x0)","Vector arrows, flow lines, particle tracks, or any cue implying a direction at each point.",Different-sized discs show one scalar value at each spacetime point.,The samples represent a scalar function phi(x): values vary over spacetime but carry no direction.
6.2,Vector field,6,A vector attached to every spacetime point,Simplify the detailed diagram to an x/ct grid with several blue arrows anchored at grid points and labelled A_mu.,"Design the detailed graphic as a spacetime grid whose events each carry an anchored vector arrow A_mu(x). Let arrow directions and lengths vary smoothly across the grid, and show faint anchor dots underneath so the field reads as many local vectors, not one free vector. A small component stack at one event may clarify that each arrow has components.","A vector field assigns vector components to every spacetime event, transforming covariantly under Lorentz transformations.",A_mu,"x, ct, A_mu(x)","A single isolated four-vector, scalar dots only, fluid-flow imagery without spacetime anchors, or arrows detached from events.",Anchored arrows show a vector attached to each spacetime point.,"The varying arrows represent A_mu(x), a vector field with components defined locally at each event."
6.3,Field Lagrangian,6,Local density over spacetime accumulated into field action,Simplify the detailed diagram to a spacetime grid with one highlighted local cell L feeding into an action tile S.,"Design the detailed graphic as a spacetime region subdivided into small cells, several of which carry local density labels mathcal L. Use arrows from the cells into an integral/action container S with a compact d4x label, showing that field action is an integral over spacetime volume rather than over a particle path. Keep the grid/region central.",A field Lagrangian is a local density at spacetime points whose integral over spacetime gives the action for fields.,"L, S","mathcal L, S, d4x","Particle path action as the main motif, phase-space q/p axes, or a full field-theory formula.",Local L density cells over spacetime feed the field action S.,"The d^4x cue shows that field action integrates a Lagrangian density over spacetime volume, not along a particle path."
6.4,Field equations,6,Local differential rule propagating field values,"Simplify the detailed diagram to a spacetime grid, one central highlighted field value, neighbour arrows into it, and a compact field-eq tile.","Design the detailed graphic as a local stencil on a spacetime grid: neighbouring field values feed a central event through short arrows, then an equation tile produces the next layer of field values or a smooth wavefront. This should communicate local differential evolution. Use generic phi or field labels rather than Maxwell-specific E and B.","Field equations are local differential equations for fields, obtained by applying Euler-Lagrange variation to the field Lagrangian.",field eq,"x, ct, phi, field eq","One particle trajectory, Maxwell-specific notation as the main image, a long differential equation, or nonlocal arrows from distant points.",Neighbouring field values feed a local field-equation tile.,The stencil-like arrows show local differential evolution: nearby field values determine propagation through a field equation.
7.1,Vector potential \(A_\mu\),7,Potential field whose derivatives make electromagnetic field,Simplify the detailed diagram to a spacetime grid with several A_mu arrows and a small derivative arrow toward an F tile.,"Design the detailed graphic as a vector field A_mu(x) on a spacetime grid, with a highlighted local patch where neighbouring A arrows are compared by derivative/curl marks. Feed that local derivative operation into a compact F_mu_nu tile. The potential field remains visually primary; F is the constructed observable object.",The vector potential is a relativistic vector field defined at each event; the observable electromagnetic field is derived from its spacetime derivatives.,A_mu,"A_mu, partial A, F_mu_nu","Electric and magnetic fields as the main image, gauge-fixing selectors, scalar-potential-only imagery, or implying A_mu itself is directly unique and observable.",A vector-potential field feeds a derivative operation to produce F.,A local patch of A_mu values is differentiated to build the electromagnetic field tensor F_mu_nu.
7.2,Field tensor \(F_{\mu\nu}\),7,Antisymmetric tensor containing electric and magnetic fields,Simplify the detailed diagram to a bold antisymmetric F_mu_nu tile with opposite off-diagonal cells shaded and small E/B cues.,"Design the detailed graphic as a readable 4x4 antisymmetric matrix-like tile labelled F_mu_nu, with zero diagonal hinted, opposite off-diagonal signs paired, and coloured component groups mapping to E and B. Add small outgoing E arrows and B loop glyphs from the relevant matrix regions. The matrix should teach unification without becoming a dense component table.",The electromagnetic field tensor is an antisymmetric covariant object built from derivatives of A_mu and containing the electric and magnetic field components.,F_mu_nu,"F_mu_nu, E, B","Separate unrelated E and B pictures, a generic square grid with no antisymmetry cue, or a fully written component matrix too small to read.",An F tensor badge contains electric and magnetic component cues.,The antisymmetric matrix organizes E and B as components of the same relativistic field tensor.
7.3,Electric field,7,Radial force field on charges at rest,Simplify the detailed diagram to a positive charge with blue radial E arrows pointing outward.,"Design the detailed graphic as a positive source charge with radial electric field lines, plus a small positive test charge at rest and a force arrow aligned with the local E direction. If a negative source is hinted, keep it secondary. The key lesson is force per unit charge on a rest charge in the chosen frame.",The electric field is the component of the electromagnetic field that acts on charges at rest in a chosen inertial frame.,E,"E, q_test, F","Magnetic loops, moving-charge/current motifs, tensor notation as the main image, or field lines that swirl like B rather than radiating from charge.",Radial E arrows show the electric field of a positive charge.,A rest test charge experiences a force along the local electric field direction.
7.4,Magnetic field,7,Circulating field tied to moving charges and currents,Simplify the detailed diagram to a current arrow or moving charge with green circular B arrows around it.,Design the detailed graphic as a straight current or moving charge with concentric circular magnetic field arrows around the direction of motion. Add a small moving test charge with a sideways deflection arrow to show magnetic action depends on motion. Keep the source motion/current visually explicit so B is not mistaken for a static-charge radial field.,"The magnetic field is the spatial component of the electromagnetic field associated with moving charges and currents, frame-dependent together with E.",B,"B, v, F","Radial electric field lines, static charge-only pictures, making B independent of motion, or replacing the concept with a full tensor diagram.",Circular B arrows wrap around a moving charge or current.,"The source motion/current sets the magnetic field direction, and a moving test charge receives a sideways force."
7.5,Electromagnetic field,7,Unified relativistic field with E and B components,Simplify the detailed diagram to one central F_mu_nu badge with a blue E arrow and green B loop emerging from it.,"Design the detailed graphic as a single electromagnetic field tensor object F_mu_nu on a light spacetime grid, with E arrows and B loops shown as frame-dependent component projections of that one object. Include a subtle frame marker to imply E/B split depends on observer, while F remains the unified field.",The electromagnetic field unifies electric and magnetic fields in the field tensor; E and B are frame-dependent components of one relativistic object.,"F, E, B","F_mu_nu, E, B, frame","Two disconnected electric and magnetic diagrams, source charges as the focus, Maxwell equations as the main graphic, or implying E and B are independent fields.",One F object gives rise to E and B component views.,The tensor F_mu_nu is the unified electromagnetic field; E and B are frame-dependent components of it.
7.7,Maxwell's equations,7,"Local equations linking sources, fields, and waves","Simplify the detailed diagram to a source four-current J feeding a field tensor F, with a small outgoing wavefront.","Design the detailed graphic as a local spacetime patch where charge-current J_mu feeds into a compact Maxwell operator acting on F_mu_nu, producing both nearby field lines and a propagating wavefront. Use a small partial symbol to show locality, but do not write the full equations. The composition should read source -> local field law -> propagation.",Maxwell's equations locally relate electromagnetic fields to charge-current sources and imply propagating electromagnetic waves.,"J, F","J_mu, partial, F_mu_nu, wave","Four separate textbook panels, full differential equations, only a static charge field, or a wave picture with no source/law relation.","A source J feeds a field F, with outgoing wave marks.",Maxwell equations locally relate source current to the electromagnetic field and allow propagating waves.
8.6,Lorenz gauge,8,Covariant divergence condition selecting a convenient potential,"Simplify the detailed diagram to A_mu arrows passing through a Lorenz gauge filter and emerging as one cleaner A_mu, with a small partial dot A = 0 tag.","Design the detailed graphic as a before/after potential-field panel: several gauge-equivalent A_mu patterns enter a covariant gauge selector labelled partial_mu A^mu = 0, and one clean representative exits. Keep a faint unchanged F_mu_nu tile behind both sides to show the physical electromagnetic field is not changed. The word Lorenz should be spelled distinctly from Lorentz.",The Lorenz gauge is a covariant condition on the vector potential that simplifies Maxwell's equations without changing the physical electromagnetic field.,A_mu,"A_mu, partial_mu A^mu = 0, F_mu_nu","Confusing Lorenz gauge with Lorentz transformations, changing F, or making the gauge condition look like a new force law.",Potential representatives pass through a Lorenz gauge selector.,The condition partial_mu A^mu = 0 selects a convenient potential representative while leaving F unchanged.
8.1,Gauge invariance,8,Equivalent potentials producing the same physical field,"Simplify the detailed diagram to two A_mu representatives connected by a Lambda gauge arrow, both pointing to the same F tile.","Design the detailed graphic as two potential representatives A_mu and A_mu + partial_mu Lambda on parallel lanes, joined by a gauge-transformation arrow labelled Lambda. Both representatives feed into one identical F_mu_nu tile, which is visually locked or highlighted as unchanged. The same-field endpoint is the teaching focus.",Gauge invariance is the freedom to change the vector potential by a gauge transformation without changing the physical electromagnetic field.,"A_mu, F","A_mu, Lambda, A_mu + dLambda, F_mu_nu","Changing F, making the gauge transformation look like a Lorentz coordinate transformation, or using only abstract symmetry arrows with no potential.",Two gauge-related potentials point to the same F.,A_mu and A_mu + partial_mu Lambda are different potential representatives that produce the same physical field tensor.
7.6,Four-current,7,Charge density and current density as one source four-vector,Simplify the detailed diagram to a J^mu badge split into rho on the time side and J on the space side.,"Design the detailed graphic as a spacetime source field: charge-density dots in a small volume and current arrows flowing through it, packaged into one four-vector badge J^mu with rho c as the time component and J as the spatial component. Add a small axis inset to show it is a relativistic source object.",The four-current combines charge density and current density into one relativistic source four-vector for electromagnetism.,"J^mu, rho, J","J^mu, rho c, J, x, ct","A plain electric source charge only, separate unrelated charge and current icons, fluid flow without relativistic packaging, or too much continuity-equation detail.",A J^mu badge combines charge density and current.,"Charge dots and current arrows are packaged as the four-current source J^mu, with density and flux components."
8.3,Minimal coupling,8,Free momentum replaced by gauge-covariant momentum,Simplify the detailed diagram to p entering a coupling node with A_mu and exiting as p - eA.,"Design the detailed graphic as a free charged-particle line with momentum p entering a region carrying vector-potential arrows A_mu. Through a coupling node labelled e, the outgoing canonical/kinetic combination is shown as p - eA or p_mu - e A_mu. Add a faint gauge-covariant path cue so the image reads interaction through the potential rather than an ordinary force push.",Minimal coupling introduces electromagnetic interaction by replacing ordinary momentum with a gauge-covariant combination involving the vector potential.,"p, A_mu, p-eA","p_mu, A_mu, e, p_mu - e A_mu","A generic force arrow, Maxwell equations, a long Lagrangian, or making A_mu look like a one-off external shove instead of a field-coupling rule.",Free momentum p enters an A-dependent coupling rule.,"Minimal coupling replaces ordinary momentum with p_mu - e A_mu, introducing electromagnetic interaction through the potential."
8.4,Lorentz force law,8,Field tensor and velocity changing particle momentum,"Simplify the detailed diagram to a charged particle path with velocity u, nearby F tile, and red momentum-change arrow dp.","Design the detailed graphic as a charged particle worldline with four-velocity u^mu passing through a local electromagnetic field tensor F_mu_nu. Draw an arrow from F and u into a red change in four-momentum dp^mu/dtau at the particle. If E/B hints are present, keep them secondary to the covariant F-u-to-dp structure.",The Lorentz force law gives the relativistic change of a charged particle's momentum due to the electromagnetic field tensor and its velocity.,"F, u, dp","q, F_mu_nu, u^mu, dp^mu/dtau","A Newtonian-only electric force picture, radiation reaction recoil, separate E and B diagrams as the main motif, or a force arrow disconnected from velocity.",A particle with velocity u in field F receives a momentum change dp.,"The force law combines charge, field tensor, and four-velocity to determine dp^mu/dtau."
